Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,99,0,300.0,309.74106495958756,279.2994190022,418.5192189979716,4958.0,3.358762851924493,0.0,300,310,310,320,350,360,370,420,420,420,420
GET,/AJAX/index.php,88,0,300.0,314.35211496595497,283.9561630025855,702.0782660001714,4236.0,2.9855669794884383,0.0,300,310,310,320,340,380,420,700,700,700,700
GET,/artists.php,92,0,300.0,313.9893909672774,282.94752500005416,417.6049060006335,5402.0,3.1212745694651858,0.0,310,310,320,320,360,380,420,420,420,420,420
GET,/cart.php,89,0,300.0,309.40080858431685,281.478455002798,420.37687299671234,5200.0,3.0194938769826254,0.0,300,310,310,320,330,360,420,420,420,420,420
GET,/categories.php,94,0,300.0,306.2876592553329,281.3947030008421,400.9344059995783,6189.0,3.189128364453559,0.0,300,310,310,310,330,360,360,400,400,400,400
GET,/index.php,93,0,300.0,321.4555447420446,281.0558609999134,1317.7826879982604,5032.0,3.1552014669593724,0.0,300,310,310,310,330,380,640,1300,1300,1300,1300
GET,/login.php,196,0,310.0,366.30075638780056,280.0792090019968,2413.7537550013803,5523.0,6.649671908860613,0.0,310,310,320,330,590,640,820,1800,2400,2400,2400
GET,/logout.php,84,0,300.0,309.08451845226364,281.9383710011607,635.5246880011691,4830.0,2.8498593895116913,0.0,300,310,310,320,320,340,400,640,640,640,640
GET,/userinfo.php,174,0,300.0,319.18278186799137,282.42604700062657,1311.5738749984303,6029.0,5.903280163988503,0.0,310,310,320,320,340,360,410,720,1300,1300,1300
POST,/userinfo.php,191,0,300.0,351.21762464403133,279.2603460002283,2670.9565419987484,6009.806282722513,6.480037421389679,0.0,300,310,320,330,350,400,980,2600,2700,2700,2700
,Aggregated,1200,0,300.0,328.17989272170615,279.2603460002283,2670.9565419987484,5465.235833333333,40.71227699302416,0.0,300,310,320,320,350,390,640,810,2600,2700,2700
