Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1723557089,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1723557091,1,,Aggregated,0.000000,0.000000,640,640,640,640,640,640,640,640,640,640,640,2,0,292.5716409990855,465.5185640003765,292.5716409990855,638.4654870016675,5240.5
1723557092,2,,Aggregated,0.000000,0.000000,350,350,580,580,640,640,640,640,640,640,640,7,0,350.0,400.5201115713654,292.5716409990855,638.4654870016675,5498.142857142857
1723557093,3,,Aggregated,2.000000,0.000000,350,350,370,580,630,640,640,640,640,640,640,15,0,350.0,380.32208433335956,290.48658600004273,638.4654870016675,5542.266666666666
1723557094,4,,Aggregated,2.000000,0.000000,300,350,350,350,580,630,640,640,640,640,640,24,0,300.0,351.97853091676734,290.48658600004273,638.4654870016675,5572.041666666667
1723557095,5,,Aggregated,4.666667,0.000000,300,350,350,350,630,810,1800,1800,1800,1800,1800,37,0,300.0,391.09721608130366,290.48658600004273,1807.4361929975566,5500.27027027027
1723557096,6,,Aggregated,6.000000,0.000000,300,300,320,350,580,640,810,1800,1800,1800,1800,57,0,300.0,363.3785187545679,287.41281400289154,1807.4361929975566,5484.087719298245
1723557097,7,,Aggregated,6.000000,0.000000,300,300,300,320,380,630,810,1800,1800,1800,1800,77,0,300.0,348.98313675337516,280.6690819998039,1807.4361929975566,5514.714285714285
1723557098,8,,Aggregated,9.000000,0.000000,300,300,300,300,350,580,640,810,1800,1800,1800,105,0,300.0,336.63388101915535,280.0792090019968,1807.4361929975566,5503.438095238095
1723557099,9,,Aggregated,9.000000,0.000000,300,300,300,300,350,580,640,810,1800,1800,1800,133,0,300.0,330.2515494511421,280.0792090019968,1807.4361929975566,5470.706766917293
1723557100,10,,Aggregated,12.625000,0.000000,300,300,300,300,350,580,630,810,1800,1800,1800,162,0,300.0,327.4047232037525,280.0792090019968,1807.4361929975566,5479.7037037037035
1723557101,11,,Aggregated,14.777778,0.000000,300,300,300,310,350,570,630,640,1800,1800,1800,203,0,300.0,324.70792249256783,279.893318998802,1807.4361929975566,5487.645320197044
1723557102,12,,Aggregated,16.100000,0.000000,300,300,310,310,340,570,630,640,1800,1800,1800,239,0,300.0,322.57930600414005,279.893318998802,1807.4361929975566,5490.292887029289
1723557103,13,,Aggregated,19.100000,0.000000,300,300,310,310,330,380,630,640,1800,1800,1800,280,0,300.0,321.4833945714158,279.893318998802,1807.4361929975566,5473.967857142857
1723557104,14,,Aggregated,22.500000,0.000000,300,310,310,320,360,410,630,640,1800,1800,1800,320,0,300.0,325.97671565622477,279.893318998802,1807.4361929975566,5477.30625
1723557105,15,,Aggregated,26.200000,0.000000,300,310,310,320,350,410,630,640,1800,1800,1800,375,0,300.0,323.1344698240088,279.2994190022,1807.4361929975566,5485.050666666667
1723557106,16,,Aggregated,28.800000,0.000000,300,310,310,320,350,400,610,640,1800,1800,1800,418,0,300.0,320.7093989329998,279.2994190022,1807.4361929975566,5475.401913875598
1723557107,17,,Aggregated,32.500000,0.000000,300,310,310,310,340,400,630,760,2400,2400,2400,475,0,300.0,325.5109362842172,279.2994190022,2413.7537550013803,5465.8021052631575
1723557108,18,,Aggregated,35.000000,0.000000,300,310,310,320,350,400,620,640,2400,2400,2400,534,0,300.0,325.8391642041474,279.2994190022,2413.7537550013803,5478.795880149813
1723557109,19,,Aggregated,37.200000,0.000000,300,310,310,320,350,390,620,660,2400,2400,2400,593,0,300.0,325.04857852955126,279.2994190022,2413.7537550013803,5480.548060708263
1723557110,20,,Aggregated,41.500000,0.000000,300,310,320,320,360,410,610,640,2400,2400,2400,652,0,300.0,326.65708385282113,279.2994190022,2413.7537550013803,5474.369631901841
1723557111,20,,Aggregated,43.500000,0.000000,300,310,320,320,360,400,600,640,2400,2400,2400,712,0,300.0,324.992894689678,279.2994190022,2413.7537550013803,5464.066011235955
1723557112,20,,Aggregated,47.100000,0.000000,300,310,320,320,350,400,590,640,2400,2400,2400,772,0,300.0,323.61929679283503,279.2994190022,2413.7537550013803,5471.097150259067
1723557113,20,,Aggregated,49.900000,0.000000,300,310,320,320,360,400,590,640,2400,2400,2400,843,0,300.0,323.187569354764,279.2994190022,2413.7537550013803,5474.744958481613
1723557114,20,,Aggregated,52.000000,0.000000,310,310,320,320,350,390,580,630,2400,2400,2400,912,0,310.0,322.6355141788159,279.2994190022,2413.7537550013803,5470.075657894737
1723557115,20,,Aggregated,53.600000,0.000000,310,310,320,320,350,380,570,630,2400,2400,2400,972,0,310.0,321.73683680253754,279.2994190022,2413.7537550013803,5462.793209876543
